iter	Passed	Remaining
0	149	149406
1	150	75055
2	151	50188
3	151	37740
4	152	30304
5	152	25334
6	153	21822
7	154	19158
8	155	17159
9	157	15593
10	158	14272
11	159	13116
12	160	12163
13	160	11315
14	161	10594
15	161	9952
16	162	9391
17	162	8890
18	163	8444
19	164	8038
20	164	7677
21	165	7350
22	165	7049
23	166	6768
24	167	6513
25	167	6281
26	168	6063
27	168	5857
28	169	5669
29	170	5499
30	171	5346
31	171	5200
32	172	5058
33	173	4926
34	173	4797
35	174	4676
36	175	4566
37	176	4463
38	176	4358
39	177	4257
40	177	4160
41	178	4069
42	179	3984
43	179	3901
44	180	3823
45	180	3749
46	181	3675
47	181	3606
48	182	3540
49	182	3475
50	183	3414
51	183	3352
52	184	3296
53	185	3242
54	185	3191
55	186	3143
56	187	3096
57	187	3048
58	188	3000
59	188	2955
60	189	2912
61	189	2870
62	190	2833
63	191	2797
64	191	2759
65	192	2722
66	192	2687
67	193	2653
68	194	2621
69	194	2588
70	195	2556
71	195	2524
72	196	2493
73	196	2465
74	197	2435
75	197	2406
76	198	2379
77	199	2352
78	199	2327
79	200	2301
80	200	2276
81	201	2253
82	201	2227
83	202	2204
84	202	2181
85	203	2161
86	204	2140
87	204	2119
88	205	2099
89	205	2079
90	206	2060
91	206	2042
92	207	2024
93	208	2005
94	208	1986
95	209	1969
96	209	1951
97	210	1933
98	210	1916
99	211	1899
100	211	1883
101	212	1867
102	212	1851
103	213	1836
104	213	1821
105	214	1807
106	214	1793
107	215	1779
108	216	1766
109	216	1754
110	217	1741
111	217	1728
112	218	1716
113	219	1705
114	220	1694
115	220	1682
116	221	1669
117	221	1657
118	222	1646
119	222	1634
120	223	1622
121	223	1610
122	224	1599
123	224	1588
124	225	1578
125	226	1567
126	226	1556
127	226	1546
128	227	1538
129	228	1528
130	228	1518
131	229	1508
132	230	1499
133	230	1491
134	231	1482
135	231	1473
136	232	1464
137	233	1455
138	233	1447
139	234	1438
140	234	1429
141	234	1419
142	235	1411
143	235	1402
144	236	1394
145	237	1386
146	237	1379
147	238	1371
148	238	1363
149	239	1356
150	239	1348
151	240	1341
152	241	1334
153	241	1327
154	242	1320
155	242	1313
156	243	1306
157	243	1299
158	244	1292
159	245	1286
160	245	1279
161	246	1272
162	246	1267
163	247	1260
164	247	1254
165	248	1247
166	248	1241
167	249	1234
168	249	1228
169	250	1222
170	250	1216
171	251	1209
172	251	1204
173	252	1198
174	252	1192
175	253	1186
176	253	1180
177	254	1175
178	255	1170
179	255	1164
180	256	1159
181	256	1153
182	257	1148
183	257	1143
184	258	1137
185	258	1132
186	259	1127
187	259	1122
188	260	1117
189	261	1112
190	261	1107
191	262	1103
192	262	1099
193	263	1094
194	263	1089
195	264	1085
196	265	1080
197	265	1075
198	266	1071
199	266	1066
200	267	1062
201	267	1058
202	268	1053
203	268	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	272	1030
209	272	1026
210	273	1022
211	273	1018
212	274	1014
213	275	1010
214	275	1007
215	276	1003
216	277	999
217	277	996
218	278	992
219	278	988
220	279	985
221	280	981
222	280	978
223	281	974
224	282	971
225	282	968
226	283	964
227	283	961
228	284	958
229	285	954
230	285	951
231	286	948
232	287	944
233	287	941
234	288	938
235	288	935
236	289	932
237	290	929
238	291	926
239	291	923
240	292	921
241	293	918
242	293	915
243	294	912
244	295	909
245	295	906
246	296	903
247	297	900
248	297	898
249	298	895
250	299	892
251	299	889
252	300	886
253	300	883
254	301	880
255	302	877
256	302	874
257	303	872
258	303	869
259	304	866
260	305	864
261	305	861
262	306	859
263	307	856
264	308	854
265	308	851
266	309	849
267	310	846
268	310	844
269	311	841
270	312	839
271	312	837
272	313	834
273	314	832
274	314	829
275	315	827
276	315	824
277	316	822
278	317	819
279	317	817
280	318	815
281	319	812
282	319	810
283	320	807
284	321	805
285	321	802
286	322	800
287	323	798
288	323	796
289	324	794
290	325	792
291	325	790
292	326	788
293	327	786
294	328	784
295	328	782
296	329	779
297	330	777
298	330	775
299	331	773
300	332	771
301	332	769
302	333	767
303	334	765
304	334	763
305	335	760
306	336	758
307	336	757
308	337	754
309	338	753
310	338	750
311	339	748
312	340	746
313	340	744
314	341	742
315	342	740
316	342	738
317	343	736
318	343	734
319	344	732
320	345	730
321	345	728
322	346	726
323	347	724
324	347	722
325	348	720
326	349	718
327	349	716
328	350	714
329	350	712
330	351	710
331	352	708
332	352	706
333	353	705
334	354	703
335	354	701
336	355	699
337	355	697
338	356	695
339	357	693
340	357	691
341	358	690
342	359	688
343	359	686
344	360	684
345	361	682
346	361	680
347	362	678
348	362	676
349	363	675
350	364	673
351	364	671
352	365	669
353	365	667
354	366	666
355	367	664
356	367	662
357	368	661
358	369	659
359	370	658
360	371	656
361	371	655
362	372	653
363	373	652
364	374	651
365	374	649
366	375	648
367	376	646
368	377	645
369	378	643
370	378	642
371	379	641
372	380	639
373	381	638
374	382	636
375	382	635
376	383	634
377	384	632
378	385	631
379	385	629
380	386	627
381	387	626
382	387	624
383	388	623
384	389	621
385	389	620
386	390	618
387	391	617
388	391	615
389	392	613
390	393	612
391	393	610
392	394	609
393	395	607
394	396	606
395	396	605
396	397	603
397	398	602
398	398	600
399	399	599
400	400	597
401	400	596
402	401	594
403	402	593
404	402	591
405	403	590
406	403	588
407	404	586
408	405	585
409	405	583
410	406	582
411	407	581
412	407	579
413	408	578
414	409	576
415	409	575
416	410	573
417	411	572
418	411	571
419	412	569
420	413	568
421	413	566
422	414	565
423	415	564
424	415	562
425	416	561
426	417	559
427	417	558
428	418	557
429	419	555
430	419	554
431	420	553
432	421	551
433	421	550
434	422	548
435	423	547
436	423	546
437	424	545
438	425	543
439	426	542
440	426	541
441	427	539
442	428	538
443	429	537
444	429	535
445	430	534
446	431	533
447	431	532
448	432	530
449	433	529
450	433	528
451	434	526
452	435	525
453	435	524
454	436	522
455	437	521
456	437	520
457	438	518
458	439	517
459	439	516
460	440	515
461	441	513
462	441	512
463	442	511
464	443	510
465	444	508
466	444	507
467	445	506
468	446	505
469	446	503
470	447	502
471	447	501
472	448	499
473	449	498
474	449	496
475	450	495
476	450	494
477	451	493
478	452	491
479	452	490
480	453	489
481	453	487
482	454	486
483	455	485
484	455	483
485	456	482
486	456	481
487	457	480
488	458	478
489	459	477
490	459	476
491	460	475
492	460	473
493	461	472
494	461	471
495	462	470
496	463	468
497	463	467
498	464	466
499	464	464
500	465	463
